,_mask_rate,_mask_scale,_mask_strategy,_src_merge,cola,mnli,model,mrpc,qnli,qqp,rte,scaling,sst2,stsb
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,68.83,task_arithmetic_decompose,78.84,79.62,68.47,45.85,0.29,83.37,5.92
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,67.23,task_arithmetic_decompose,79.16,79.02,72.69,53.06999999999999,0.29,83.72,23.39
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.53,task_arithmetic_decompose,78.62,78.52,73.41,52.35,0.29,83.83,27.82
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.23,task_arithmetic_decompose,78.43,78.52,73.41,51.62,0.29,83.83,28.73
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.03,task_arithmetic_decompose,78.64,78.52,73.41,53.06999999999999,0.29,83.83,28.83
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.13,task_arithmetic_decompose,78.64,78.52,73.41,53.06999999999999,0.29,83.83,28.87
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.03,task_arithmetic_decompose,78.64,78.52,73.41,53.06999999999999,0.29,83.83,28.83
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.13,task_arithmetic_decompose,78.64,78.52,73.41,52.71,0.29,83.83,28.92
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.23,task_arithmetic_decompose,78.64,78.32000000000001,73.41,53.06999999999999,0.29,83.83,28.95
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,65.73,task_arithmetic_decompose,78.64,78.32000000000001,73.41,52.71,0.29,84.06,28.54
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,65.93,task_arithmetic_decompose,78.62,78.42,73.22999999999999,53.06999999999999,0.29,83.94,28.78
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,65.73,task_arithmetic_decompose,78.64,78.62,73.41,52.71,0.29,83.94,29.520000000000003
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.93,task_arithmetic_decompose,78.46,78.52,73.41,51.62,0.29,83.94,28.64
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,8.19,70.53,task_arithmetic_decompose,78.19,79.92,67.11,44.77,0.3,84.39999999999999,-5.62
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,69.73,task_arithmetic_decompose,77.23,77.52,64.25,46.57,0.3,84.17,-14.52
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,69.53,task_arithmetic_decompose,78.22,79.72,69.63000000000001,45.49,0.3,83.83,6.94
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.63,task_arithmetic_decompose,79.36999999999999,78.82000000000001,73.22999999999999,52.35,0.3,84.06,24.16
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.03,task_arithmetic_decompose,78.81,78.52,73.95,52.71,0.3,83.72,28.410000000000004
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,65.93,task_arithmetic_decompose,78.81,78.32000000000001,73.95,53.43,0.3,83.72,29.29
